"filename", "language", "Dart", "comment", "blank", "total"
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/description_screen/description_screen_widgets/barcode.dart", "Dart", 24, 0, 1, 25
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/description_screen/description_screen_widgets/description.dart", "Dart", 197, 0, 4, 201
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/description_screen/description_screen_widgets/graph.dart", "Dart", 66, 0, 1, 67
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/description_screen/description_screen_widgets/image_slider.dart", "Dart", 44, 0, 2, 46
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/description_screen/description_screen_widgets/rating_dialog.dart", "Dart", 64, 0, 1, 65
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/description_screen/description_screen_widgets/ratings.dart", "Dart", 110, 0, 2, 112
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/description_screen/description_screen_widgets/reviews.dart", "Dart", 82, 0, 4, 86
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/description_screen/description_screen_widgets/stars.dart", "Dart", 13, 0, 1, 14
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/description_screen/description_screen_widgets/user_review.dart", "Dart", 85, 0, 4, 89
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/description_screen/description_screen_widgets/view_count.dart", "Dart", 34, 0, 1, 35
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/full_product_list/full_product_list.dart", "Dart", 70, 0, 8, 78
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/homescreen/homescreen.dart", "Dart", 85, 1, 5, 91
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/homescreen/homescreen_widgets/banners.dart", "Dart", 34, 0, 1, 35
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/homescreen/homescreen_widgets/category_grid.dart", "Dart", 37, 0, 2, 39
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/homescreen/homescreen_widgets/discounted.dart", "Dart", 40, 0, 1, 41
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/homescreen/homescreen_widgets/heading.dart", "Dart", 21, 0, 1, 22
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/homescreen/homescreen_widgets/top_rated.dart", "Dart", 40, 0, 2, 42
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/notification_description/notification_description.dart", "Dart", 83, 0, 6, 89
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/notifications_list/notifications_list.dart", "Dart", 116, 0, 6, 122
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/order_tracking/order_tracking.dart", "Dart", 132, 0, 4, 136
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/order_tracking/order_tracking_widgets/item_row.dart", "Dart", 45, 0, 1, 46
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/order_tracking/order_tracking_widgets/status_row.dart", "Dart", 19, 0, 1, 20
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/orders_screen/order_screen_widgets/orders_card.dart", "Dart", 59, 0, 1, 60
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/orders_screen/orders_screen.dart", "Dart", 58, 0, 6, 64
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/scan_barcode/scan_barcode.dart", "Dart", 89, 0, 6, 95
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/scan_object/scan_object.dart", "Dart", 82, 0, 4, 86
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/scan_object/scan_object_widgets/matched_product_list.dart", "Dart", 45, 0, 1, 46
"/Users/fatboy/Documents/flutter projects/e_commerce_bloc-master/lib/screens/scan_to_search/scan_to_search.dart", "Dart", 51, 0, 5, 56
